Borough,Grade,Year,Ethnicity,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4,Group
MANHATTAN,6,2013,White,1481,331,123,8.3,312,21.1,407,27.5,639,43.1,1046,70.6,White_Manhattan_2013-2015
MANHATTAN,7,2014,White,1431,337,124,8.7,260,18.2,459,32.1,588,41.1,1047,73.2,White_Manhattan_2013-2015
MANHATTAN,8,2015,White,732,319,119,16.3,242,33.1,217,29.6,154,21,371,50.7,White_Manhattan_2013-2015
MANHATTAN,6,2014,White,1560,335,119,7.6,281,18,364,23.3,796,51,1160,74.4,White_Manhattan_2014-2016
MANHATTAN,7,2015,White,1492,337,121,8.1,230,15.4,541,36.3,600,40.2,1141,76.5,White_Manhattan_2014-2016
MANHATTAN,8,2016,White,738,320,121,16.4,195,26.4,244,33.1,178,24.1,422,57.2,White_Manhattan_2014-2016
MANHATTAN,6,2015,White,1580,339,89,5.6,291,18.4,366,23.2,834,52.8,1200,75.9,White_Manhattan_2015-2017
MANHATTAN,7,2016,White,1538,339,109,7.1,280,18.2,437,28.4,712,46.3,1149,74.7,White_Manhattan_2015-2017
MANHATTAN,8,2017,White,696,315,120,17.2,257,36.9,186,26.7,133,19.1,319,45.8,White_Manhattan_2015-2017
MANHATTAN,6,2016,White,1710,340,105,6.1,282,16.5,344,20.1,979,57.3,1323,77.4,White_Manhattan_2016-2017
MANHATTAN,7,2017,White,1702,343,117,6.9,199,11.7,544,32,842,49.5,1386,81.4,White_Manhattan_2016-2017
MANHATTAN,6,2017,White,1718,341,109,6.3,284,16.5,354,20.6,971,56.5,1325,77.1,White_Manhattan_2017
QUEENS,8,2013,White,2664,315,454,17,1056,39.6,744,27.9,410,15.4,1154,43.3,White_Queens_2013
QUEENS,7,2013,White,2898,314,627,21.6,975,33.6,901,31.1,395,13.6,1296,44.7,White_Queens_2013-2014
QUEENS,8,2014,White,2043,309,407,19.9,906,44.3,546,26.7,184,9,730,35.7,White_Queens_2013-2014
QUEENS,6,2013,White,2799,314,438,15.6,1045,37.3,631,22.5,685,24.5,1316,47,White_Queens_2013-2015
QUEENS,7,2014,White,2767,317,565,20.4,814,29.4,891,32.2,497,18,1388,50.2,White_Queens_2013-2015
QUEENS,8,2015,White,1881,307,462,24.6,762,40.5,445,23.7,212,11.3,657,34.9,White_Queens_2013-2015
QUEENS,6,2014,White,2717,319,403,14.8,866,31.9,628,23.1,820,30.2,1448,53.3,White_Queens_2014-2016
QUEENS,7,2015,White,2649,321,438,16.5,822,31,799,30.2,590,22.3,1389,52.4,White_Queens_2014-2016
QUEENS,8,2016,White,1769,310,404,22.8,701,39.6,406,23,258,14.6,664,37.5,White_Queens_2014-2016
QUEENS,6,2015,White,2717,320,399,14.7,810,29.8,676,24.9,832,30.6,1508,55.5,White_Queens_2015-2017
QUEENS,7,2016,White,2680,321,482,18,762,28.4,788,29.4,648,24.2,1436,53.6,White_Queens_2015-2017
QUEENS,8,2017,White,1687,304,454,26.9,656,38.9,411,24.4,166,9.8,577,34.2,White_Queens_2015-2017
QUEENS,6,2016,White,2554,320,357,14,776,30.4,549,21.5,872,34.1,1421,55.6,White_Queens_2016-2017
QUEENS,7,2017,White,2492,321,451,18.1,672,27,772,31,597,24,1369,54.9,White_Queens_2016-2017
QUEENS,6,2017,White,2588,320,439,17,688,26.6,599,23.1,862,33.3,1461,56.5,White_Queens_2017
STATEN ISLAND,8,2013,White,2262,310,378,16.7,1091,48.2,590,26.1,203,9,793,35.1,White_Staten-Island_2013
STATEN ISLAND,7,2013,White,2306,310,545,23.6,900,39,657,28.5,204,8.8,861,37.3,White_Staten-Island_2013-2014
STATEN ISLAND,8,2014,White,1939,309,349,18,901,46.5,540,27.8,149,7.7,689,35.5,White_Staten-Island_2013-2014
STATEN ISLAND,6,2013,White,2179,310,372,17.1,907,41.6,500,22.9,400,18.4,900,41.3,White_Staten-Island_2013-2015
STATEN ISLAND,7,2014,White,2157,317,398,18.5,760,35.2,637,29.5,362,16.8,999,46.3,White_Staten-Island_2013-2015
STATEN ISLAND,8,2015,White,1522,306,362,23.8,690,45.3,356,23.4,114,7.5,470,30.9,White_Staten-Island_2013-2015
STATEN ISLAND,6,2014,White,2242,315,309,13.8,810,36.1,604,26.9,519,23.1,1123,50.1,White_Staten-Island_2014-2016
STATEN ISLAND,7,2015,White,2182,318,377,17.3,737,33.8,689,31.6,379,17.4,1068,48.9,White_Staten-Island_2014-2016
STATEN ISLAND,8,2016,White,1563,306,350,22.4,670,42.9,387,24.8,156,10,543,34.7,White_Staten-Island_2014-2016
STATEN ISLAND,6,2015,White,2246,313,388,17.3,822,36.6,517,23,519,23.1,1036,46.1,White_Staten-Island_2015-2017
STATEN ISLAND,7,2016,White,2172,319,414,19.1,714,32.9,611,28.1,433,19.9,1044,48.1,White_Staten-Island_2015-2017
STATEN ISLAND,8,2017,White,1646,305,405,24.6,700,42.5,387,23.5,154,9.4,541,32.9,White_Staten-Island_2015-2017
STATEN ISLAND,6,2016,White,2168,316,325,15,749,34.5,490,22.6,604,27.9,1094,50.5,White_Staten-Island_2016-2017
STATEN ISLAND,7,2017,White,2117,318,408,19.3,662,31.3,643,30.4,404,19.1,1047,49.5,White_Staten-Island_2016-2017
STATEN ISLAND,6,2017,White,2064,316,359,17.4,620,30,510,24.7,575,27.9,1085,52.6,White_Staten-Island_2017
