Borough,Grade,Year,ELL,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4,Group
BROOKLYN,6,2016,Current ELL,2324,278.1643677,1200,51.63511276,767,33.00344086,217,9.337348938,140,6.024096489,357,15.36144543,Current ELL_Brooklyn_2016-2017
BROOKLYN,7,2017,Current ELL,2390,283.673645,1410,58.99581528,600,25.10460281,256,10.71129704,124,5.188284397,380,15.89958191,Current ELL_Brooklyn_2016-2017
BROOKLYN,6,2016,Ever ELL,3292,320.1436768,441,13.39611053,1112,33.77885818,673,20.44349861,1066,32.38153076,1739,52.82503128,Ever ELL_Brooklyn_2016-2017
BROOKLYN,7,2017,Ever ELL,3525,322.3466797,636,18.04255295,1064,30.18439674,940,26.66666603,885,25.10638237,1825,51.7730484,Ever ELL_Brooklyn_2016-2017
BROOKLYN,6,2016,Never ELL,13016,304.866333,3583,27.52765846,4409,33.87369537,2114,16.24154854,2910,22.35709953,5024,38.59864807,Never ELL_Brooklyn_2016-2017
BROOKLYN,7,2017,Never ELL,12709,307.48526,4347,34.20410919,3564,28.04311943,2640,20.77268028,2158,16.980093,4798,37.75277328,Never ELL_Brooklyn_2016-2017
MANHATTAN,6,2016,Current ELL,962,270.2401123,596,61.95426178,272,28.27442741,54,5.613305569,40,4.158004284,94,9.771309853,Current ELL_Manhattan_2016-2017
MANHATTAN,7,2017,Current ELL,893,273.3348389,634,70.99664307,173,19.37290001,64,7.166853428,22,2.463605881,86,9.630458832,Current ELL_Manhattan_2016-2017
MANHATTAN,6,2016,Ever ELL,1162,315.5077515,192,16.52323532,418,35.9724617,225,19.36316681,327,28.14113617,552,47.50430298,Ever ELL_Manhattan_2016-2017
MANHATTAN,7,2017,Ever ELL,1227,316.614502,279,22.73838615,376,30.64384651,320,26.07987022,252,20.53789711,572,46.61776733,Ever ELL_Manhattan_2016-2017
MANHATTAN,6,2016,Never ELL,5933,315.4210205,1293,21.79335976,1714,28.88926315,960,16.18068504,1966,33.13669205,2926,49.317379,Never ELL_Manhattan_2016-2017
MANHATTAN,7,2017,Never ELL,5644,318.1902771,1498,26.54146004,1257,22.2714386,1302,23.06874466,1587,28.1183567,2889,51.18709946,Never ELL_Manhattan_2016-2017
QUEENS,6,2016,Current ELL,2427,279.7634888,1208,49.77338409,879,36.21755219,195,8.034610748,145,5.974453926,340,14.00906467,Current ELL_Queens_2016-2017
QUEENS,7,2017,Current ELL,2372,282.3355713,1418,59.78077698,600,25.2951088,244,10.28667831,110,4.637436867,354,14.92411423,Current ELL_Queens_2016-2017
QUEENS,6,2016,Ever ELL,4038,320.9606323,457,11.3174839,1410,34.91827774,908,22.48637962,1263,31.27786064,2171,53.76424026,Ever ELL_Queens_2016-2017
